"","level","success","success_rate","offered","id","rank","tf","idf","level1","level2","psuccess","lemmaTF","bucket","model_prediction","model_correct","age"
"3044",1,1,62.96296296,27,9510,30,1051,1,1,1,90.90909091,44780675,4,1,1,24.8328505484035
"3045",3,0,25,28,16634,398,3,0.063829787,2,3,81.81818182,107245,8,1,0,24.8793950312396
"3046",3,1,25,28,16634,398,3,0.063829787,2,3,81.81818182,107245,8,1,1,24.8793950312396
"3047",3,0,25,28,16634,398,3,0.063829787,2,3,81.81818182,107245,8,1,0,24.8793950312396
"3048",3,0,25,28,16634,398,3,0.063829787,2,3,81.81818182,107245,8,1,0,24.8793950312396
"3049",3,0,25,28,16634,398,3,0.063829787,2,3,81.81818182,107245,8,1,0,24.8328505484035
"3050",1,1,58.82352941,17,9999,3380,131,0.638297872,1,1,90.90909091,730544,5,1,1,24.8793950312396
"3051",4,0,20.68965517,29,17090,2159,1,0.021276596,2,4,81.81818182,91709,8,1,0,24.8793950312396
"3052",1,1,21.73913043,23,9547,6515,159,0.808510638,1,1,90.90909091,849593,8,1,1,24.8793950312396
"3053",2,1,63.33333333,30,11336,315,452,0.914893617,1,2,90.90909091,4382445,4,1,1,24.8793950312396
"3054",5,0,31.03448276,29,12322,129,277,0.680851064,1,5,90.90909091,270631,7,1,0,24.8793950312396
"3055",11,0,14.28571429,21,16332,669,2,0.021276596,2,11,0,39683,9,0,1,24.8793950312396
"3056",11,0,14.28571429,21,16332,669,2,0.021276596,2,11,0,39683,9,0,1,24.8793950312396
"3057",3,1,55,20,10493,129,211,0.936170213,1,3,90.90909091,4438879,5,1,1,24.8328505484035
"3058",7,0,36,25,12585,3415,82,0.446808511,2,7,81.81818182,50193,7,1,0,24.8793950312396
"3059",3,1,57.14285714,21,12397,696,159,0.595744681,1,3,90.90909091,1059565,5,1,1,24.8793950312396
"3060",3,1,57.14285714,21,12397,696,159,0.595744681,1,3,90.90909091,1059565,5,1,1,24.8328505484035
"3061",5,1,48.27586207,29,10464,34,211,0.978723404,1,5,90.90909091,9994228,6,1,1,24.8793950312396
"3062",6,1,68,25,16311,614,1,0.021276596,2,6,81.81818182,461276,4,1,1,24.8793950312396
"3063",1,1,60.86956522,23,12325,2455,66,0.680851064,2,1,81.81818182,650523,4,1,1,24.8328505484035
"3064",5,0,26.31578947,19,12222,168,152,0.872340426,1,5,90.90909091,3025487,8,1,0,24.8328505484035
